id,address,beds,baths,area,price,zestimate,best_deal,Lat,Long,Neighborhood_Geopy,pricem
2060535220,"2 bed, 1.0 bath, $2,800, 122 Dustin St #11689132, Brighton, MA 02135",2.0,1.0,,"$2,800/mo",0,2800.0,42.3546,-71.1446,Brighton,2800
2065667655,"11 Parker Hill, 11 Parker Hill Ave, Roxbury Crossing, MA 02120",2.0,1.0,,"$2,800+/mo",0,2800.0,42.3327,-71.1096,Mission Hill,2800
2060507814,"122 Dustin St #18D, Brighton, MA 02135",2.0,1.0,,"$2,800/mo",0,2800.0,42.3546,-71.1447,Brighton,2800
2060511408,"12 Camelot Ct #10-5G, Brighton, MA 02135",1.0,1.0,501,"$2,822/mo",0,2822.0,42.3503,-71.1408,Brighton,2822
2080453379,"5 Weyanoke St #1, Dorchester Center, MA 02124",3.0,1.0,1400,"$2,850/mo",0,2850.0,42.2828,-71.0608,Dorchester,2850
2063408232,"Clearway Apartments, 10-60 Clearway St #7, Boston, MA 02115",1.0,1.0,337,"$2,850/mo",0,2850.0,42.3455,-71.0863,Fenway/Kenmore,2850
2060514074,"9 Queen St #1A, Dorchester, MA 02122",2.0,1.0,,"$2,900/mo",0,2900.0,42.2936,-71.0534,Dorchester,2900
2079805362,"1161 Commonwealth Ave #5A, Allston, MA 02134",3.0,1.0,1100,"$3,000/mo",0,3000.0,42.3509,-71.1278,Allston,3000
2119063655,"Courtyard at North Beacon, 140 N Beacon St APT A2, Boston, MA 02135",2.0,1.5,1150.0,"$3,000/mo",0,3000.0,42.355,-71.1455,Brighton,3000
2060514144,"8 Mount Cushing Ter #2A, Dorchester, MA 02125",3.0,2.0,,"$3,000/mo",0,3000.0,42.3157,-71.0635,Dorchester,3000
2060511945,"73 Braintree St UNIT 213, Allston, MA 02134",1.0,1.0,579,"$3,015/mo",0,3015.0,42.3563,-71.1357,Allston,3015
2066662839,"8 Alveston Ter #1, Jamaica Plain, MA 02130",2.0,1.0,900,"$3,100/mo",0,3100.0,42.3116,-71.112,Jamaica Plain,3100
2085819356,"299 Dudley St #2A, Roxbury, MA 02119",3.0,2.0,1250,"$3,100/mo",0,3100.0,42.3277,-71.0779,Roxbury,3100
2060514094,"319 D St #109, Boston, MA 02127",1.0,1.0,,"$3,150/mo",0,3150.0,42.3401,-71.0493,South Boston,3150
2060512642,"1 bed, 1.0 bath, $3,150, 11 Burney St #11696078, Roxbury Crossing, MA 02120",1.0,1.0,,"$3,150/mo",0,3150.0,42.3319,-71.0997,Mission Hill,3150
